ORF ID	Gene Name	Class(1:essential 2:nonessential 3:unknown)	Alternative Name	Map Position	Start(BP)	End(BP)	Length	Direction(0:+ 1:-)	Ncbi ID	Product	Swissprot Acc No	Note
1	thrL	2	b0001   ECK0001   JW4367	0.004095110110938549	190	255	66	0	1786182	thr operon leader peptide	P03059;   Q8XA85;	GO_process: GO:0009088 - threonine biosynthetic process
2	thrA	2	b0002   ECK0002   Hs   JW0001   thrA1   thrA2   thrD	0.0072634401731193066	337	2   799	2   463	0	1786183	fused aspartokinase I and homoserine dehydrogenase I	P00561; Q47659;   Q8FLD9;   Q8XA84;	bifunctional: aspartokinase I (N-terminal); homoserine dehydrogenase I (C-terminal); GO_component: GO:0005737 - cytoplasm; GO_process: GO:0009088 - threonine biosynthetic process; GO_process: GO:0009086 - methionine biosynthetic process; GO_process: GO:0009090 - homoserine biosynthetic process
3	thrB	2	b0003   ECK0003   JW0002	0.06037060171365738	2   801	3   733	933	0	1786184	homoserine kinase	P00547;   Q8FLD8;   Q8XA82;	GO_component: GO:0005737 - cytoplasm; GO_process: GO:0009088 - threonine biosynthetic process
4	thrC	2	b0004   ECK0004   JW0003	0.08047980070114136	3   734	5   020	1   287	0	1786185	threonine synthase	P00934;   Q8FLD7;   Q8XA80;	GO_component: GO:0005737 - cytoplasm; GO_process: GO:0009088 - threonine biosynthetic process
5	yaaX	2	b0005   ECK0005   JW0004   o98c	0.11281000077724457	5   234	5   530	297	0	1786186	hypothetical protein	P75616;	
2	tolJ	2		0.11999999731779099	5   567	5   567	0	0				
6	yaaA	2	b0006   ECK0006   JW0005	0.12248700112104416	5   683	6   459	777	1	1786187	peroxide resistance protein    lowers intracellular iron	P11288;   Q8FLD3;   Q8XA76;	
7	yaaJ	2	b0007   ECK0007   JW0006	0.14072099328041077	6   529	7   959	1   431	1	1786188	putative transporter	P30143;   Q8FLD2;   Q8XA75;	inner membrane transport protein; GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_component: GO:0019866 - organelle inner membrane
3	popD	2		0.17000000178813934	7   887	7   887	0	0				
8	talB	2	b0008   ECK0008   JW0007   yaaK	0.17755599319934845	8   238	9   191	954	0	1786189	transaldolase B	P30148;   Q8FLD1;	GO_component: GO:0005737 - cytoplasm; GO_process: GO:0009052 - pentose-phosphate shunt    non-oxidative branch
2	102	-1		0.1899999976158142	9   173	23   921	14   749	-1				
9	mog	2	b0009   bisD   chlG   ECK0009   JW0008   mogA   yaaG	0.20057399570941925	9   306	9   893	588	0	1786190	molybdochelatase incorporating molybdenum into molybdopterin	P28694;   Q8FLD0;	putative molybdochetalase in molybdopterine biosynthesis; GO_component: GO:0005737 - cytoplasm; GO_process: GO:0006777 - Mo-molybdopterin cofactor biosynthetic process
